Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Basiliximab,Prevention of Acute Kidney Transplant Rejection,-,"Gastrointestinal disturbances, hypertension, infection.",Immunosuppressant (IL-2 Receptor Antagonist),Very High Cost; Specialty/Transplant use,IV Infusion (2 doses: pre-surgery and Day 4 post-surgery).,"Daclizumab, ATG (Rabbit).",Global Injection
Bedaquiline fumarate,Multi-drug Resistant Tuberculosis (MDR-TB),-,"Nausea, joint pain (arthralgia), headache, increased liver enzymes. Serious: QT prolongation.",Diarylquinoline Antibiotic (Inhibits mycobacterial ATP synthase),Very High Cost; Specialty drug,"400 mg once daily for 2 weeks, then 200 mg three times per week for 22 weeks.",Delamanid (Other novel TB drugs).,Global Tablet
Belatacept,Prevention of Kidney Transplant Rejection,-,"Headache, hypertension, nausea, diarrhea. Serious: Post-transplant lymphoproliferative disorder (PTLD).",Selective T-cell Costimulation Blocker,Extremely High Cost; Specialty/Transplant use,IV Infusion (complex dosing schedule).,"Cyclosporine, Tacrolimus (Calcineurin Inhibitors).",Global Injection
Belimumab,Systemic Lupus Erythematosus (SLE) (Autoimmune disease),-,"Nausea, diarrhea, fever, headache, nasopharyngitis.",Monoclonal Antibody (Inhibits B-lymphocyte stimulator protein - BLyS),Very High Cost; Specialty drug,IV Infusion or SC injection (dosing schedule varies by route).,Rituximab (Anti-CD20).,Global Injection
Bendamustine Hydrochloride,Chronic Lymphocytic Leukemia (CLL),Non-Hodgkin's Lymphoma (NHL),"Nausea, vomiting, fatigue, fever, neutropenia, lymphopenia.",Alkylating Agent (Chemotherapy),Very High Cost; Oncology use only,"IV Infusion (Complex dosing, e.g., on days 1 and 2 every 21 or 28 days).","Cyclophosphamide, Chlorambucil.",Global Injection
Bendroflumethiazide,Hypertension (High Blood Pressure),Edema (Fluid retention),"Low potassium (hypokalemia), dizziness, headache, nausea.",Thiazide Diuretic,₹10 - ₹50 per 10 tabs (2.5mg/5mg),2.5 mg to 10 mg once daily (for edema) or 2.5 mg to 5 mg once daily (for hypertension).,"Hydrochlorothiazide, Chlorthalidone.",Global Tablet
Benzbromarone,Gout (Chronic management),Hyperuricemia (High Uric Acid),"Diarrhea, nausea, stomach pain. Serious: Liver toxicity (reason for restricted use).",Uricosuric Agent (Increases uric acid excretion),Varies (often unlicensed/restricted access),50 mg to 100 mg once daily.,"Probenecid, Lesinurad.",Global Tablet (Restricted/Unlicensed)
Benzylpenicillin,"Severe Bacterial Infections (e.g., Pneumonia, Meningitis, Syphilis)",-,"Pain at injection site, rash. Serious: Anaphylaxis, hemolytic anemia.",Narrow-Spectrum Penicillin Antibiotic,₹10 - ₹100 per vial (India),IV or IM injection (complex dosing in Millions of Units).,"Phenoxymethylpenicillin (Penicillin V, oral form).",Global Injection
Betahistine dihydrochloride,"Ménière's Disease (Dizziness, ringing in ears, hearing loss)",Vertigo,"Headache, nausea, indigestion (dyspepsia).",Antihistamine/Histamine Analog (Improves inner ear circulation),₹100 - ₹300 per 10 tabs (8mg/16mg),8 mg to 16 mg three times daily.,"Cinnarizine, Meclizine.",Global Tablet
Betamethasone,Severe inflammatory/allergic conditions,Adrenal insufficiency,"Weight gain, fluid retention, high blood sugar, mood changes (short-term). Serious: Adrenal suppression (long-term).",Corticosteroid (Glucocorticoid),₹20 - ₹100 per 10 tabs,"Dose varies widely based on condition and route (oral, injection, topical).","Prednisone, Dexamethasone, Hydrocortisone.",Global Tablet/Injection/Topical
Betaxolol hydrochloride,Hypertension (High Blood Pressure),Chronic Angina,"Bradycardia (slow heart rate), dizziness, fatigue.",Beta-1 Selective Adrenergic Blocker,₹50 - ₹150 per 10 tabs,5 mg to 20 mg once daily.,"Metoprolol, Bisoprolol, Atenolol.",Global Tablet
Bevacizumab,"Various Cancers (Colorectal, Lung, Renal, Brain)",-,"Hypertension, nose bleeds (epistaxis), headache. Serious: Gastrointestinal perforation, thrombosis.",Monoclonal Antibody (VEGF inhibitor),Very High Cost; Oncology/Specialty use,IV Infusion (Dosing varies widely by indication and chemotherapy regimen).,"Ramucirumab, Aflibercept (Intraocular).",Global Injection
Bexarotene,Cutaneous T-cell Lymphoma (CTCL) (refractory cases),-,"High cholesterol (hypercholesterolemia), high triglycerides (hypertriglyceridemia), headache.",Selective Retinoid X Receptor (RXR) Agonist,Extremely High Cost; Specialty drug,300 mg/m$^2$ daily (must be taken with food).,"Acitretin, Isotretinoin.",Global Capsule
Bezafibrate,Hypertriglyceridemia (High Triglycerides),Mixed Dyslipidemia,"Gastrointestinal upset, headache. Serious: Rhabdomyolysis (muscle breakdown) when combined with statins.",Fibrate (PPAR $\alpha$ agonist),₹100 - ₹300 per 10 tabs,200 mg three times daily or 400 mg once daily (retard).,"Fenofibrate, Gemfibrozil.",Global Tablet
Bezlotoxumab,Prevention of Clostridioides difficile Infection (CDI) Recurrence,-,"Nausea, fever, headache. Serious: Increased risk of heart failure in high-risk patients.",Monoclonal Antibody (binds to C. difficile toxin B),Extremely High Cost; Specialty use,10 mg/kg single IV infusion.,"Fidaxomicin, Vancomycin (Oral antibiotics for CDI treatment).",Global Injection
Bicalutamide,"Prostate Cancer (advanced, as part of maximal androgen blockade)",-,"Hot flashes, breast tenderness (gynecomastia), nausea, liver enzyme elevation.",Anti-Androgen (Androgen Receptor Inhibitor),₹200 - ₹800 per 10 tabs (50mg),50 mg once daily.,"Flutamide, Enzalutamide, Apalutamide.",Global Tablet
Bilastine,Allergic Rhinitis (Hay fever),Urticaria (Hives),"Headache, drowsiness, dizziness.",H1 Receptor Antagonist (Second-generation non-sedating),₹100 - ₹300 per 10 tabs,20 mg once daily.,"Cetirizine, Fexofenadine, Levocetirizine.",Global Tablet
Bisacodyl,Constipation (Short-term relief),Bowel preparation (before colonoscopy),"Abdominal discomfort/cramps, diarrhea, nausea.",Stimulant Laxative,₹10 - ₹30 per 10 tabs,5 mg to 10 mg at night (oral) or 10 mg suppository (rectal).,"Senna, Sodium Picosulfate.",Global Tablet/Suppository
Bisoprolol fumarate,Hypertension (High Blood Pressure),"Chronic Stable Angina, Chronic Heart Failure","Bradycardia (slow heart rate), dizziness, fatigue, cold extremities.",Beta-1 Selective Adrenergic Blocker,₹30 - ₹150 per 10 tabs (2.5mg/5mg),2.5 mg to 10 mg once daily.,"Metoprolol, Atenolol, Nebivolol.",Global Tablet
Bivalirudin,Anticoagulation during Percutaneous Coronary Intervention (PCI),-,"Bleeding (increased risk of major or minor hemorrhage), headache, nausea.",Direct Thrombin Inhibitor,Very High Cost; Hospital/IV use only,IV Bolus followed by IV Infusion.,"Heparin, Argatroban.",Global Injection
Betamethasone,Severe inflammatory/allergic conditions,Adrenal insufficiency,"Weight gain, fluid retention, high blood sugar, mood changes. Serious: Adrenal suppression (long-term).",Corticosteroid (Glucocorticoid),₹20 - ₹100 per 10 tabs,"Dose varies widely based on condition and route (oral, injection, topical).","Prednisone, Dexamethasone.",Global Tablet/Injection/Topical
Betaxolol hydrochloride,Hypertension (High Blood Pressure),"Chronic Angina, Glaucoma (ophthalmic drops)","Bradycardia (slow heart rate), dizziness, fatigue.",Beta-1 Selective Adrenergic Blocker,₹50 - ₹150 per 10 tabs,5 mg to 20 mg once daily.,"Metoprolol, Bisoprolol.",Global Tablet/Ophthalmic
Bevacizumab,"Various Cancers (Colorectal, Lung, Renal, Brain)",-,"Hypertension, nose bleeds (epistaxis), headache. Serious: GI perforation, thrombosis.",Monoclonal Antibody (VEGF inhibitor),Very High Cost; Oncology use only,IV Infusion (Dosing varies widely by indication).,"Ramucirumab, Aflibercept.",Global Injection
Bexarotene,Cutaneous T-cell Lymphoma (CTCL) (refractory cases),-,"High cholesterol (hypercholesterolemia), high triglycerides, headache.",Selective Retinoid X Receptor (RXR) Agonist,Extremely High Cost; Specialty drug,300 mg/m$^2$ daily (must be taken with food).,"Acitretin, Isotretinoin.",Global Capsule
Bezafibrate,Hypertriglyceridemia (High Triglycerides),Mixed Dyslipidemia,"Gastrointestinal upset, headache. Serious: Rhabdomyolysis (with statins).",Fibrate (PPAR $\alpha$ agonist),₹100 - ₹300 per 10 tabs,200 mg three times daily or 400 mg once daily (retard).,"Fenofibrate, Gemfibrozil.",Global Tablet
Bezlotoxumab,Prevention of Clostridioides difficile Infection (CDI) Recurrence,-,"Nausea, fever, headache. Serious: Increased risk of heart failure in high-risk patients.",Monoclonal Antibody (binds to C. difficile toxin B),Extremely High Cost; Specialty use,10 mg/kg single IV infusion.,"Fidaxomicin, Vancomycin (Oral).",Global Injection
Bicalutamide,Advanced Prostate Cancer,-,"Hot flashes, breast tenderness (gynecomastia), nausea, liver enzyme elevation.",Anti-Androgen (Androgen Receptor Inhibitor),₹200 - ₹800 per 10 tabs (50mg),50 mg once daily.,"Flutamide, Enzalutamide.",Global Tablet
Bilastine,Allergic Rhinitis (Hay fever),Urticaria (Hives/Skin rashes),"Headache, dizziness, dry mouth.",H1 Receptor Antagonist (Second-generation non-sedating),₹100 - ₹300 per 10 tabs,20 mg once daily.,"Cetirizine, Fexofenadine.",Global Tablet
Bisacodyl,Constipation (Short-term relief),Bowel preparation (before colonoscopy),"Abdominal discomfort/cramps, diarrhea.",Stimulant Laxative,₹10 - ₹30 per 10 tabs,5 mg to 10 mg at night (oral) or 10 mg suppository (rectal).,"Senna, Sodium Picosulfate.",Global Tablet/Suppository
Bisoprolol fumarate,Hypertension (High Blood Pressure),"Chronic Heart Failure, Chronic Stable Angina","Bradycardia (slow heart rate), dizziness, fatigue.",Beta-1 Selective Adrenergic Blocker,₹30 - ₹150 per 10 tabs (2.5mg/5mg),2.5 mg to 10 mg once daily.,"Metoprolol, Atenolol.",Global Tablet
Bivalirudin,Anticoagulation during Percutaneous Coronary Intervention (PCI),-,"Bleeding (major or minor hemorrhage), headache, nausea.",Direct Thrombin Inhibitor,Very High Cost; Hospital/IV use only,IV Bolus followed by IV Infusion.,"Heparin, Argatroban.",Global Injection
Bleomycin,"Cancers (e.g., Hodgkin Lymphoma, Testicular Cancer)",Malignant Pleural Effusion,"Fever, chills, darkening/thickening of skin. Serious: Pulmonary Fibrosis (lung scarring).",Cytotoxic Antibiotic (Chemotherapy),Very High Cost; Oncology use only,"IV/IM/SC injection (Dosing complex, based on surface area).",Doxorubicin.,Global Injection
Boceprevir,"Chronic Hepatitis C (Genotype 1, combined use)",-,"Fatigue, anemia, nausea, headache.",Direct-Acting Antiviral (HCV Protease Inhibitor),Very High Cost (Superseded by newer drugs).,800 mg three times daily (with food).,Telaprevir.,Global Capsule
Bortezomib,Multiple Myeloma,Mantle Cell Lymphoma,"Peripheral neuropathy, fatigue, nausea, thrombocytopenia.",Proteasome Inhibitor (Anti-cancer),Extremely High Cost; Specialty Injection,SC or IV Injection (complex schedule over 3 weeks).,"Carfilzomib, Ixazomib.",Global Injection
Bosentan,Pulmonary Arterial Hypertension (PAH),-,"Headache, flushing. Serious: Liver damage, fluid retention.",Endothelin Receptor Antagonist (ERA),Very High Cost; Specialty drug,"Initial: 62.5 mg twice daily, then maintenance 125 mg twice daily.","Ambrisentan, Macitentan.",Global Tablet
Bosutinib,Chronic Myeloid Leukemia (CML) (Ph+),-,"Diarrhea, nausea, vomiting, abdominal pain. Serious: Liver toxicity, myelosuppression.",Tyrosine Kinase Inhibitor (TKI) (Anti-cancer),Very High Cost; Oncology drug,500 mg once daily (with food).,"Imatinib, Nilotinib, Dasatinib.",Global Tablet
Brentuximab vedotin,Hodgkin Lymphoma (relapsed/refractory),Systemic Anaplastic Large Cell Lymphoma (sALCL),"Peripheral neuropathy, fatigue, nausea, neutropenia.",Antibody-Drug Conjugate (CD30-directed),Extremely High Cost; Specialty Injection,1.8 mg/kg IV infusion every 3 weeks.,Rituximab.,Global Injection
Brivaracetam,Partial-onset Seizures (Epilepsy),-,"Sedation/drowsiness, dizziness, nausea, mood changes.",Anticonvulsant (SVT2A ligand),High Cost; Specialty drug,Initial: 50 mg twice daily. Max: 100 mg twice daily.,"Levetiracetam, Lacosamide.",Global Tablet/Injection
Brodalumab,Moderate to severe Plaque Psoriasis,-,"Joint pain (arthralgia), headache, increased risk of infection. Serious: Suicidal ideation and behavior.",Interleukin-17 Receptor A (IL-17RA) Antagonist,Very High Cost; Specialty Injection,"210 mg SC at weeks 0, 1, 2, then every 2 weeks.","Secukinumab, Ixekizumab.",Global Injection
Bromocriptine,Hyperprolactinemia (High Prolactin),Parkinson's Disease,"Nausea, vomiting, dizziness, headache, orthostatic hypotension.",Dopamine Agonist,₹50 - ₹200 per 10 tabs,Varies widely by indication (1.25 mg to 10 mg or more daily).,"Cabergoline, Pramipexole.",Global Tablet
Budesonide,"Crohn's Disease (mild-to-moderate, ileum/ascending colon)","Ulcerative Colitis, Asthma (inhalation)","Headache, nausea, fatigue, cold symptoms.",Local-acting Corticosteroid,₹150 - ₹500 per 10 caps,9 mg once daily (oral) for induction.,Prednisone (Systemic Corticosteroid).,Global Capsule/Inhaler
Bumetanide,"Edema (Fluid retention due to heart, liver, or kidney failure)",-,"Low potassium (hypokalemia), muscle cramps, dizziness.",Loop Diuretic,₹10 - ₹50 per 10 tabs,0.5 mg to 2 mg once daily or twice daily.,"Furosemide, Torasemide.",Global Tablet/Injection
Buprenorphine,Opioid Dependence (Addiction),Moderate-to-severe Pain (Analgesic),"Headache, nausea, sweating, insomnia, withdrawal symptoms upon stopping.",Opioid Partial Agonist/Antagonist,Price Varies (often combined with Naloxone),Sublingual Film/Tablet (Dosing highly individualized).,Methadone.,Global Sublingual Film/Patch
Bupropion hydrochloride (amfebutamone HCL),Major Depressive Disorder (MDD),Smoking Cessation,"Dry mouth, nausea, insomnia, headache, agitation. Serious: Seizures (dose-related risk).",Atypical Antidepressant (NDRI),₹200 - ₹500 per 10 tabs,150 mg to 300 mg once daily (extended release).,"Venlafaxine, Fluoxetine.",Global Tablet
Buserelin,Advanced Prostate Cancer,"Endometriosis, Uterine Fibroids","Hot flashes, reduced libido, application site reactions (injection/nasal).",GnRH Agonist,Very High Cost; Specialty Injection/Nasal Spray,Subcutaneous Injection or Nasal Spray.,"Leuprolide, Goserelin.",Global Injection/Nasal Spray
Buspirone hydrochloride,Generalized Anxiety Disorder (GAD),Anxiety symptoms (short-term relief),"Dizziness, headache, nausea, nervousness.",Anxiolytic ($\text{5-HT}_{1\text{A}}$ Partial Agonist),₹50 - ₹200 per 10 tabs (5mg/10mg),Initial: 5 mg two or three times daily. Max: 60 mg daily.,"Pregabalin, Escitalopram.",Global Tablet
Busulfan,Chronic Myeloid Leukemia (CML),Pre-treatment conditioning regimen for Stem Cell Transplant,"Nausea, vomiting, hair loss. Serious: Pulmonary fibrosis (""busulfan lung""), veno-occlusive disease.",Alkylating Agent (Chemotherapy),Very High Cost; Hospital/Oncology use only,"Varies widely (oral or IV, complex dosing).","Melphalan, Cyclophosphamide.",Global Tablet/Injection
Cabazitaxel,"Metastatic Prostate Cancer (hormone-refractory, post-docetaxel)",-,"Neutropenia (low white cells), fatigue, diarrhea, nausea, vomiting.",Taxane Chemotherapy,Extremely High Cost; Oncology use only,25 mg/m$^2$ IV infusion over 1 hour every 3 weeks.,"Docetaxel, Paclitaxel.",Global Injection
Cabergoline,Hyperprolactinemia (High Prolactin levels),Parkinson's Disease,"Nausea, headache, dizziness, abdominal pain. Serious: Valvular fibrosis (rare).",Dopamine Agonist ($\text{D}_2$ receptor),₹300 - ₹800 per 2 tabs (0.5mg),0.25 mg to 1 mg twice weekly.,"Bromocriptine, Quinagolide.",Global Tablet
Cabozantinib,Advanced Renal Cell Carcinoma (RCC),"Hepatocellular Carcinoma (HCC), Medullary Thyroid Cancer","Diarrhea, hand-foot syndrome, fatigue, hypertension. Serious: GI perforation/fistula, hemorrhage.",Multi-Targeted Tyrosine Kinase Inhibitor (TKI),Extremely High Cost; Oncology use only,60 mg once daily.,"Axitinib, Sunitinib.",Global Tablet
Calcitonin (salmon) / Salcatonin,Paget's Disease of Bone,"Hypercalcemia (high calcium levels), Bone pain","Nausea, vomiting, flushing, injection site reactions.",Peptide Hormone (Inhibits bone resorption),High Cost; Specialty Injection/Nasal Spray,100 IU daily or every other day (SC or IM).,Alendronate (Bisphosphonates).,Global Injection/Nasal Spray
Calcitriol,Hypocalcemia in chronic renal dialysis,Hypoparathyroidism,"High calcium (hypercalcemia), nausea, vomiting.",Active Vitamin $\text{D}_3$ Metabolite,₹50 - ₹150 per 10 caps (0.25mcg),0.25 mcg once daily or every other day.,"Alfacalcidol, Paricalcitol.",Global Capsule/Injection
Calcium Acetate,Hyperphosphatemia (High Phosphate) in ESRD,-,"Constipation, nausea, high calcium (hypercalcemia).",Phosphate Binder,₹50 - ₹150 per 10 tabs,1334 mg to 2001 mg with each meal.,"Sevelamer, Lanthanum Carbonate.",Global Tablet/Capsule
Calcium Carbonate,Dietary supplement for Calcium Deficiency,"Antacid (Indigestion/Heartburn), Hyperphosphatemia","Constipation, gas, bloating.",Mineral Supplement / Antacid,₹5 - ₹50 per 10 tabs (Generic),Supplement: 500 mg to 1000 mg daily. Antacid: Up to 3-4 times daily.,"Calcium Citrate, Aluminium Hydroxide.",Global Tablet/Chewable
Calcium Gluconate,Acute Hypocalcemia (emergency low calcium),Hyperkalemia (to stabilize cardiac membrane),"Injection site irritation, dizziness.",Calcium Salt,₹50 - ₹150 per vial,"IV injection/infusion (e.g., 10 mL of 10% solution).",Calcium Chloride.,Global Injection
Calcium Resonium,Hyperkalemia (High Potassium levels),-,"Constipation, nausea, vomiting.",Ion-Exchange Resin,₹200 - ₹500 per sachet/powder,Oral: 15 g three to four times daily. Rectal: 30 g daily.,Sodium Polystyrene Sulphonate (Kayexalate).,Global Powder/Suspension
